Ref,Paper Title,App Domain,DL Model Under Attack,System Under attack,Attack Scenario,Attacked Target,Attacker's Capability,Attack Strategy,Attacker's System/Model knowledge,Attack/Error Specificity,Failure Specificity,Model-level results,System-level results (Failure Propagation)
1,SlowTrack: Increasing the latency of camera-based perception in autonomous driving using adversarial examples,Cars,"SORT(Y5), FairMOT, ByteTrack, BoT-SORT (Perception)",Baidu Apollo in LGSVL simulator (MSF),AVs changing lanes when another car is in the adjacent lane or approaching an intersection with a stop sign where another car is present,Input image,Purturbing the image input to insert fake bounding boxes into it,Evasion,WM / BS,AG / EG,Generic,Losing detection and subsequently tracking of the target object,Crashing into another car
2,RPAU: Fooling the eyes of UAVs via physical adversarial patches,Drones,A variation of DroNet (E2E),"Parrot Bebop 2 Drone and Matlab simulation (SSF)",Drones moving to its destination,"Environment (anything that can hold a patch horizontally)",Attaching the patch to anything that can hold it horizontally, facing the drone.,Evasion,WM / GS,AG / ES,Specific,Misdetection of objects and Misprediction of the steering wheel angle,Crashing to objects, freezing or going off-route
3,Adversarial attacks on adaptive cruise control systems,Cars,OpenPilot's Adaptive Cruise Control ACC system (Perception),"CARLA and Baidu Apollo (MSF)",AV driving behind the attacker's vehicle,Vehicles and Trucks,Placing the patch on the back of a vehicle and drive it in front of the AV,Evasion,WM / BS,AS / ES,Specific,Misdetection of the vehicle in front,Acceleration and crash into the car in front
4,Learning when to use adaptive adversarial image perturbations against autonomous vehicles,Cars,YOLO v5 (Perception),"Vision-based guidance system in CARLA or AirSim (SSF)",AVs following their target,Input image,Inserting the malware into the system and training the perturbations on the real training set,Evasion,WM / BS,AG / EG,Generic,Misdetection of the correct coordinates of the target bounding box,Losing path, stability and collision to surrounding obstacles
5,DeepManeuver: Adversarial test generation for trajectory manipulation of autonomous vehicles,Cars,Dave2 (E2E),An AV vehicle (hopper vehicle) in BeamNG (SSF),AVs driving past a roadside billboard,Billboards (placing their own malicious billboard),Installing a perturbed billboard or altering an existing one,Evasion,WM / BS,AS / EG,Generic,Misprediction of the steering wheel angle,Going off-road
6,Kidnapping deep learning-based multirotors using optimized flying adversarial patches,Drones,PULP Frontnet (Perception),A human-following drone control system known as the nano multirotor, the Crazyflie by Bitcrafe. (SSF),Autonomous drones following a human target,Input image,Moving a printed patch in front of a drone,Evasion,WM / BS,AG / ES,Specific,Misclassification of the adversarial patch as a real human,Following the adversarially patched image and failing to detect the real human
7,Does physical adversarial example really matter to autonomous driving?,Cars,"YOLO v2, v3, v5 (Perception)",Baidu Apollo in LGSVL simulator (MSF),AVs approaching a critical physical road object on a sunny day, such as a stop sign or pedestrian,Stop signs and pedestrians,Attaching adversarial patches on stop signs or pedestrians' shirts.,Evasion,WM / BS,AS / ES,Specific,Failure to detect stop signs and pedestrians,Running a stop sign and colliding with pedestrians
8,On data fabrication in collaborative vehicular perception: Attacks and countermeasures,Cars,"PointPillars, VoxelNet, V2VNet, CoBEVT, FPV-RCNN (Perception)",AVs utilizing LiDAR or GPS information from other cars in Baidu Apollo (MSF),Multiple AVs driving and jointly performing collaborative perception tasks,Objects in the shared feature map,Manipulating shared LiDAR vision data by spoofing or removing objects from it,Evasion,"WM & BM / GS",AS / ES,Specific,Detecting fake objects as real while failing to detect a real object,Stopping unexpectedly or causing collisions with objects
9,Rolling colors: Adversarial laser exploits against traffic light recognition,Cars,"Nexar & YOLO v4 (Perception)",Baidu Apollo in LGSVL simulator (MSF),AVs approaching a traffic light,Camera,Directing a laser beam towards the camera of the victim,Evasion,WM / BS,AS / ES,Specific,Misclassification of traffic light colors,"Running a red light, causing a car crash or emergency stop, which leads to the vehicle freezing"
10,Stop-and-go: Exploring backdoor attacks on deep reinforcement learning-based traffic congestion control systems,Cars,"DRL in decision-making module of SUMO (Planning)",Microscopic traffic simulator SUMO And intelligent driver model (SSF),"AVs driving in one or two lanes, following the malicious leading vehicle in traffic",Training data,Injecting a backdoor into the model by retraining it with poisoned data.,Poisoning,WM / BS,AS / ES,Specific,Failing to predict the correct reaction to traffic.,Causing a collision with the car in front
