IEEE Access	561
Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)	460
Lecture Notes in Electrical Engineering	307
IEEE Transactions on Intelligent Transportation Systems	300
Proceedings of SPIE - The International Society for Optical Engineering	279
IEEE Internet of Things Journal	254
Remote Sensing	250
Sensors	242
Drones	239
IEEE Transactions on Vehicular Technology	232
Lecture Notes in Networks and Systems	212
ACM International Conference Proceeding Series	211
Communications in Computer and Information Science	174
Applied Sciences (Switzerland)	170
IEEE Vehicular Technology Conference	150
IEEE International Conference on Intelligent Robots and Systems	138
Electronics (Switzerland)	124
Proceedings - IEEE International Conference on Robotics and Automation	123
Proceedings - IEEE Global Communications Conference, GLOBECOM	112
IFAC-PapersOnLine	111
Ocean Engineering	111
IEEE Conference on Intelligent Transportation Systems, Proceedings, ITSC	110
IEEE Intelligent Vehicles Symposium, Proceedings	109
Sensors (Switzerland)	107
Journal of Physics: Conference Series	102
CEUR Workshop Proceedings	101
IEEE International Conference on Communications	100
IEEE Robotics and Automation Letters	95
SAE Technical Papers	83
Advances in Intelligent Systems and Computing	80
IEEE Transactions on Wireless Communications	77
IEEE Sensors Journal	73
International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives	70
Scientific Reports	69
IEEE Transactions on Intelligent Vehicles	64
Journal of Marine Science and Engineering	63
Aerospace Science and Technology	62
Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST	61
Multimedia Tools and Applications	61
Expert Systems with Applications	61
Chinese Control Conference, CCC	59
AIP Conference Proceedings	59
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition	58
Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics) 	56
AIAA/IEEE Digital Avionics Systems Conference - Proceedings	54
Computer Networks	52
IEEE Transactions on Automation Science and Engineering	52
IEEE Transactions on Industrial Informatics	51
Journal of Intelligent and Robotic Systems: Theory and Applications	50
PLoS ONE	49
Proceedings of the IEEE Conference on Decision and Control	48
Proceedings of the International Astronautical Congress, IAC	47
IEEE Transactions on Aerospace and Electronic Systems	47
Vehicular Communications	46
IEEE Transactions on Mobile Computing	44
Proceedings of Machine Learning Research	43
Computer Communications	42
Computers and Security	42
IEEE Transactions on Information Forensics and Security	41
Proceedings of the American Control Conference	41
IEEE Transactions on Geoscience and Remote Sensing	40
Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS	40
Xi Tong Gong Cheng Yu Dian Zi Ji Shu/Systems Engineering and Electronics	40
IEEE Network	40
IEEE Wireless Communications Letters	40
Procedia Computer Science	39
Lecture Notes in Mechanical Engineering	39
IEEE Transactions on Instrumentation and Measurement	38
IEEE Transactions on Communications	38
