titles	abstract	URL	useful?
Dual-Arm Adversarial Robot Learning		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85171778503&origin=inward	no
Learning to Predict Vehicle Trajectories with Model-based Planning		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85171803678&origin=inward	no
Exploring Adversarial Robustness of Multi-sensor Perception Systems in Self Driving		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85171800217&origin=inward	yes
Time-Constrained Multi-Agent Path Finding in Non-Lattice Graphs with Deep Reinforcement Learning		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85159964261&origin=inward	no
Embodied Semantic Scene Graph Generation		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85171729032&origin=inward	no
EVPropNet: Detecting Drones By Finding Propellers For Mid-Air Landing And Following		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85127832365&origin=inward	no
Investigation of a morphable parawing for unmanned aerial vehicle application		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85048339135&origin=inward	maybe
Research on the modeling method of UAV swarm operation in cyberspace	As a kind of game-changing combat style, the operation of the UAV swarm in cyberspace is characterized by high effective cost and high concealment, which make it play an important role in the future competition of cyberspace. Due to the lack of actual combat experience and high confidentiality of the cyberspace operation and the UAV swarm operation, the modeling and simulation (M and S) of the operation of the UAV swarm in cyberspace is the vital method for planning the UAV swarm system architecture and designing the tactical methods of the UAV swarm. At present, the research on the M and S of the operation of the UAV swarm in cyberspace is just starting from home and abroad, and there is no corresponding modeling method and concrete model. Taken the Integrated Air Defense System (IADS) as the operational object, the guiding ideology of the M and S of the operation of the UAV swarm in cyberspace was researched from the height of the joint operations, which includes the characteristics of the individual autonomy, the group cooperation, the offensive and defensive antagonism and the electromagnetic-cyber the operation. Then, the model characteristic and elements was analyzed, such as the model system architecture, the operational rule and the intelligent algorithm. On this basis, the "action model pool", "operational rule pool" and "intelligent algorithm pool" would be constructed. Afterwards, the modeling method of the operation of the UAV swarm in cyberspace which based the “Rule+ Respond+ Algorithm” (RRA) is proposed, including the modeling framework and main process method of the RRA. The main process included the military concept modeling stage, the operational rules refining stage, the operational rules judgment stage, the action model response stage and the intelligent algorithm solution stage, that the five stages were in sequence, also the main work in each stage was analyzed. At the level of system of system M and S, the modeling focused of the abstraction, extraction and description of the operational rules of the UAV swarm in cyberspace. The description and construction methods of the operational rule are researched, such as the BNF format, the process format, and the operational rules tree graph. Finally, based on the future joint operations, an example of the operation of the UAV swarm in cyberspace is given, then the operational effectiveness is analyzed. The example showed that using nine UAV Swarms to attack IADS in cyberspace would reduce the normal power range of the sensor network by 90% and the warning time by 80.3%.	https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053479210&origin=inward    https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10835/1083514/Research-on-the-modeling-method-of-UAV-swarm-operation-in/10.1117/12.2504209.pdf	maybe
Mathematical aspects of transit photometry for small UAV detection in video	The pervasiveness of small Unmanned Aerial Vehicles (UAVs), due to low cost, ease of control, and portability, opens the possibility of their use in urban environments for illegal or adversarial purposes. Such use includes unauthorized surveillance, reconnaissance, and weaponization. Detecting adversarial UAVs in urban environments is difficult. Urban canyons provide shielding from visibility. The small size of quadcopter-type UAVs limits the number of object pixels available for processing, which reduces standoff detection performance. UAVs fly against a background of ground motion clutter which can mask their motion. One possible solution to small UAV detection in urban environments uses low-cost UAV surveillance platforms, equipped with optical sensors, together with computer vision algorithms to detect adversarial UAVs in video data. In this paper we adapt the astronomical technique of transit photometry to detect small UAVs, operating in urban environments, in video data. Transit photometry, typically used for exo-planet discovery, detects small changes in background brightness due to a transiting object. As the UAV traverses across a bright background region, for example, the vehicle occludes the background and reduces the perceived brightness. This brightness dip may be used to infer the existence of a potential UAV passing across the background. The transit photometry curve, resulting from this brightness dip, reveals information about the traversing vehicle. We investigate mathematical properties of the transit photometry curve and derive a closed-form expression for it. We present numerical results demonstrating the technique on real video data acquired from a small UAV operating in an urban environment.	https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85051846358&origin=inward    https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10668/1066802/Mathematical-aspects-of-transit-photometry-for-small-UAV-detection-in/10.1117/12.2303889.pdf	no
Cooperative path planning for multi-USV based on improved artificial bee colony algorithm	Due to the complex constraints, more uncertain factors and critical real-time demand of path planning for multiple unmanned surface vehicle (multi-USV), an improved artificial bee colony (I-ABC) algorithm were proposed to solve the model of cooperative path planning for multi-USV. First the Voronoi diagram of battle field space is conceived to generate the optimal area of USVs paths. Then the chaotic searching algorithm is used to initialize the collection of paths, which is regard as foods of the ABC algorithm. With the limited data, the initial collection can search the optimal area of paths perfectly. Finally simulations of the multi-USV path planning under various threats have been carried out. Simulation results verify that the I-ABC algorithm can improve the diversity of nectar source and the convergence rate of algorithm. It can increase the adaptability of dynamic battlefield and unexpected threats for USV.	https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10611/106111G/Cooperative-path-planning-for-multi-USV-based-on-improved-artificial/10.1117/12.2285623.pdf    https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85045134070&origin=inward	no
Open architecture of a counter UAV system	Government agencies and military are seeing a rise in drones used for terrorism, destruction and espionage. As recently as a decade ago, UAV technology has been used only by US military. Today, dozens of countries manufacture and operate military-grade drones. Drone technology has been made available around the world. Anyone can purchase a drone from an online retailer. Western military operations as well as critical infrastructure protection agencies experienced multiple drone incidents in the last years, ranging from the use of weaponized drones by ISIS to drones flying over airports or drones breaching airspace of other critical infrastructure. The emergence of threats caused by unfriendly or hostile drones requires a proactive drone detection in order to decide on appropriate defence actions. In this contribution, an open architecture of a UAV detection system including decision support for counter-action is presented. The system is composed of multiple deployable sensor stations, an operation center comprising the operational picture display and the decision support component, and a communication bus consisting of a message-oriented middleware connecting the sub-systems and components. The architectural design specifies the sub-systems, their constitutive components, the information and control flow between the components, the protocols used for data and information exchange, the functionality and responsibility of each component, and the functional parameters. The designed architecture provides a blueprint for a UAV detection and defence actions decision-making system which will allow public protection agencies and military to react timely against threats caused by hostile drones.	https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049209792&origin=inward    https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10651/1065106/Open-architecture-of-a-counter-UAV-system/10.1117/12.2305606.pdf	no
