title,abstract,URLs,venue,date
Domain Adaptation based Object Detection for Autonomous Driving in Foggy and Rainy Weather,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85197615324&origin=inward,IEEE Transactions on Intelligent Vehicles,2024-01-01
BAKAS-UAV: A Secure Blockchain-Assisted Authentication and Key Agreement Scheme for Unmanned Aerial Vehicles Networks,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85200236436&origin=inward,IEEE Internet of Things Journal,2024-01-01
A Survey on Security of Unmanned Aerial Vehicle Systems: Attacks and Countermeasures,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85199050091&origin=inward,IEEE Internet of Things Journal,2024-01-01
Group Authentication and Key Establishment Scheme,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85200264075&origin=inward,IEEE Internet of Things Journal,2024-01-01
An IoT-Based Deep-Learning Architecture to Secure Automated Electric Vehicles Against Cyberattacks and Data Loss,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85197599278&origin=inward,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",2024-01-01
An RF-Visual Directional Fusion Framework for Precise UAV Positioning,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85199032305&origin=inward,IEEE Internet of Things Journal,2024-01-01
Adaptive Policy Learning for Connected Autonomous Vehicles Defending Malicious Access Requests by Graph Reinforcement Learning,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85199360859&origin=inward,IEEE Internet of Things Journal,2024-01-01
Real-Time Collaborative Intrusion Detection System in UAV Networks Using Deep Learning,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85198391881&origin=inward,IEEE Internet of Things Journal,2024-01-01
Adversarial Stress Test for Autonomous Vehicle Via Series Reinforcement Learning Tasks With Reward Shaping,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85197619376&origin=inward,IEEE Transactions on Intelligent Vehicles,2024-01-01
SAFE-RL: Saliency-Aware Counterfactual Explainer for Deep Reinforcement Learning Policies,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85196078376&origin=inward,IEEE Robotics and Automation Letters,2024-01-01
Stochastic Communication Protocol-Based Security Control for Discrete-Time Networked Systems Using State Observer,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85196740358&origin=inward,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",2024-01-01
Caching on the Sky: A Multiagent Federated Reinforcement Learning Approach for UAV-Assisted Edge Caching,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85193247249&origin=inward,IEEE Internet of Things Journal,2024-01-01
IOOSC-U2G: An Identity-Based Online/Offline Signcryption Scheme for Unmanned Aerial Vehicle to Ground Station Communication,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85195375622&origin=inward,IEEE Internet of Things Journal,2024-01-01
Stealthy and Effective Physical Adversarial Attacks in Autonomous Driving,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85197487586&origin=inward,IEEE Transactions on Information Forensics and Security,2024-01-01
Interactive Critical Scenario Generation for Autonomous Vehicles Testing Based on In-depth Crash Data Using Reinforcement Learning,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85196731410&origin=inward,IEEE Transactions on Intelligent Vehicles,2024-01-01
An Auto-Upgradable End-to-End Preauthenticated Secure Communication Protocol for UAV-Aided Perception Intelligent System,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85196547155&origin=inward,IEEE Internet of Things Journal,2024-01-01
Resilient Neural-Sliding-Mode Distance Regulation in Merging Control of Heterogeneous Connected Automated Vehicles Subject to Deception Attacks,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85194862699&origin=inward,IEEE Transactions on Intelligent Vehicles,2024-01-01
Efficient Adversarial Attack Strategy Against 3D Object Detection in Autonomous Driving Systems,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85196069101&origin=inward,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
