"Title","Year","Source title","DOI","Link","Abstract","Document Type","Publication Stage","Source"
"Compositional Verification for Autonomous Systems with Deep Learning Components: White Paper","2019","Unmanned System Technologies","10.1007/978-3-319-97301-2_10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135558591&doi=10.1007%2f978-3-319-97301-2_10&partnerID=40&md5=40fecd379cc2c7ddf9841472993e61a0","As autonomy becomes prevalent in many applications, ranging from recommendation systems to fully autonomous vehicles, there is an increased need to provide safety guarantees for such systems. The problem is difficult, as these are large, complex systems which operate in uncertain environments, requiring data-driven machine-learning components. However, learning techniques such as Deep Neural Networks, widely used today, are inherently unpredictable and lack the theoretical foundations to provide strong assurance guarantees. We present a compositional approach for the scalable, formal verification of autonomous systems that contain Deep Neural Network components. The approach uses assume-guarantee reasoning whereby contracts, encoding the input–output behavior of individual components, allow the designer to model and incorporate the behavior of the learning-enabled components working side-by-side with the other components. We illustrate the approach on an example taken from the autonomous vehicles domain. © 2019, Springer Nature Switzerland AG.","Book chapter","Final","Scopus"
"The transition to HPC-based vehicle architectures: Cyber security implications","2019","VDI-Berichte","10.51202/9783181023570-431","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106002685&doi=10.51202%2f9783181023570-431&partnerID=40&md5=1e6e60a642a96ed8c7b922cff83be216","As the automotive industry moves towards fully connected cars and autonomous driving, the need for strong computing power inside the vehicle is significantly increasing. Vehicles are gathering, processing, and transmitting increasingly large amounts of data. Sent from multiple sensors, such as lidar, radar, and cameras, the different data streams need to be analyzed simultaneously and in real-time. This challenge is being met with the incorporation of High- Performance Computing (HPC) in-vehicle architectures, empowering the infrastructure with the ability to execute CPU-intensive tasks. In an HPC-based vehicle architecture, there are several HPCs grouped according to functionality, safety level, and cybersecurity considerations. These centralized high-performance platforms host multiple virtual ECUs, which control the majority of the vehicle’s functionalities, on a single processing unit using a hypervisor. The virtual ECUs are based on various operating systems (like Linux, Autosar). To enable the transmission of large amounts of data over higher bandwidths, automotive Ethernet is incorporated as the communication backbone in HPCbased architectures. This change in onboard infrastructure has introduced new automotive-specific protocols and new attack vectors and has provoked the need for further innovation in protecting vehicles against cyber-attacks. For example, attackers can compromise automotive-specific protocols to launch unprecedented DoS attacks. In these attacks, an enormous amount of data is sent to a victim network node effectively neutralizing it. This was successfully demonstrated by the Argus research team during a next-generation architecture penetration test project: a virtual Adaptive Autosar-based ADAS unit was disabled by a DoS attack, disabling the advanced driver assist functionality in a way that current cyber security solutions could not identify and block. The new virtualized environment has created a new automotive attack vector in which attackers have proven their ability to break out of a virtual ECU and compromise the host hypervisor - potentially compromising all the virtual guests. This type of attack is known as Guest to Host Escape. Alternatively, HPC architecture has introduced new security design opportunities, which enable the introduction of dedicated virtual Security ECUs to the vehicle architecture, without the added costs of an additional hardware component. As a global leader in automotive cyber security, Argus’ cooperation with multiple OEMs on securing HPC-based vehicle architecture has led to the development of a comprehensive cybersecurity approach that combines host protection and network protection in multiple modular and scalable components: host-level protection on every partition, hardening hypervisor software, advanced heuristics that pinpoint malicious network traffic, a virtual security ECU concept and more. In this paper, we will elaborate on the security challenges derived from the transition to HPCbased architecture. We will explain how this industry shift will transform existing cybersecurity concepts, and we will explore innovative protection methodologies and solutions that should be introduced into the design and production of vehicles with HPC architecture. © VDI Verlag GmbH · Düsseldorf 2019.","Conference paper","Final","Scopus"
"CBRNe enabled drones - The state of play and problematic future","2019","RINA, Royal Institution of Naval Architects - IMC 2019: Pacific International Maritime Conference","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084944700&partnerID=40&md5=d7e59cbf4bf36beee6f23aec5b90a3c4","Unmanned Aerial Vehicles (UAVs) from both foreign military and non-state actors are becoming an increasing threat to maritime vessels. The small size and manoeuvrability of UAVs has broadened their appeal, causing significant disruption to a variety of locations such as airports and aircraft carriers, as well as potentially posing direct threat to life. UAVs have ushered in an era of low-cost and easily accessible weapons that can deliver a Chemical, Biological, Radiological, Nuclear and Explosive (CBRNe) payload from a remote location. This paper discusses this present and future threat to maritime vessels, and the mitigation strategies available. A CBRNe UAV attack can have a significant impact on a maritime vessel. Without adequate sensors to detect a UAV or the subsequent CBRNe payload, the attack could result in; loss of life, loss of the vessel and a time-consuming and costly decontamination effort. The threat posed by UAVs will only increase in the future as the technology advances and the expense declines. A safe future for military and commercial maritime vessels increasingly depends on an organisation's ability to remove or react to a CBRNe threat. The placement of suitable detectors is therefore a key element of protection, allowing for a quick response time once the threat is detected. © 2019 RINA, Royal Institution of Naval Architects - IMC 2019: Pacific International Maritime Conference. All rights reserved.","Conference paper","Final","Scopus"
"GALILEO AND EGNOS AS AN ASSET FOR UTM SAFETY AND SECURITY","2019","Ka and Broadband Communications Conference","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126080859&partnerID=40&md5=b0b790e2810eda2ae7c9518bc066fd40","GAUSS (Galileo-EGNOS as an Asset for UTM Safety and Security) is a H2020 project1 that aims at designing and developing high performance positioning systems for drones within the U-Space framework focusing on UAS (Unmanned Aircraft System) VLL (Very Low Level) operations. The key element within GAUSS is the integration and exploitation of Galileo and EGNOS exceptional features in terms of accuracy, integrity and security, which will be key assets for the safety of current and future drone operations. More concretely, high accuracy, authentication, precise timing (among others) are key GNSS (Global Navigation Satellite System) enablers of future integrated drone operations under UTM (UAS Traffic Management) operations, which in Europe will be deployed under U-Space [1]. The U-Space concept helps control, manage and integrate all UAS in the VLL airspace to ensure the security and efficiency of UAS operations. GAUSS will enable not only safe, timely and efficient operations but also coordination among a higher number of RPAS (Remotely Piloted Aircraft System) in the air with the appropriate levels of security, as it will improve anti-jamming and anti-spoofing capabilities through a multi-frequency and multi-constellation approach and Galileo authentication operations. The GAUSS system will be validated with two field trials in two different UTM real scenarios (inland and sea) with the operation of a minimum of four UTM coordinated UAS from different types (fixed and rotary wing), manoeuvrability and EASA (European Aviation Safety Agency) operational categories. The outcome of the project will consist of Galileo-EGNOS based technological solutions to enhance safety and security levels in both, current UAS and future UTM operations. Increased levels of efficiency, reliability, safety, and security in UAS operations are key enabling features to foster the EU UAS regulation, market development and full acceptance by the society. © 2019 FGM Events LLC. All rights reserved.","Conference paper","Final","Scopus"
"A Simulator Study on Drivers' Response and Perception Towards Vehicle Cyberattacks","2019","Proceedings of the Human Factors and Ergonomics Society","10.1177/1071181319631310","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130450319&doi=10.1177%2f1071181319631310&partnerID=40&md5=123e860ad3712de16896b3bca9acf759","The introduction of advanced technologies has made driving a more automated activity. However, most vehicles are not designed with cybersecurity considerations and hence, they are susceptible to cyberattacks. When such incidents happen, it is critical for drivers to respond properly. The goal of this study was to observe drivers' responses to unexpected vehicle cyberattacks while driving in a simulated environment and to gain deeper insights into their perceptions of vehicle cybersecurity. Ten participants completed the experiment and the results showed that they perceived and responded differently to each vehicle cyberattack. Participants correctly identified the cybersecurity issue and took according action when the issue caused a noticeable visual and auditory response. Participants preferred to be clearly informed about what happened and what to do through a combination of visual, tactile, and auditory warnings. The lack of knowledge of vehicle cybersecurity was obvious among participants. © 2019 by Human Factors and Ergonomics Society.","Conference paper","Final","Scopus"
"Unmanned vehicle night infrared video colorization based on dual-channel cycle-consistent adversarial networks","2019","Laser and Optoelectronics Progress","10.3788/LOP55.091505","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100440915&doi=10.3788%2fLOP55.091505&partnerID=40&md5=c481dd3b0d5d12bfb7878533c95d4812","In the task of unmanned vehicle infrared video colorization, considering the uniqueness of a single frame and the continuity of the entire infrared video, a dual-channel cycle-consistent adversarial network (DcCCAN) based colorization method is proposed. The dual-channel generation network we proposed is on the basis of cycle-consistent adversarial network (CCAN) and has good image feature extraction ability, which can automatically extract the features of the frame in the video, and at the same time can extract the features of the previous frame generated. By joint training of adversarial loss and cycle-consistent loss, the function from infrared domain image to color domain image can be learned by unsupervised learning methods and the colorization of the infrared video can be realized. The experimental results show that the proposed method can provide natural color information and texture information for the infrared images in the video, and meet the real-time requirements. © 2020 Molecular Medicine Reports. All rights reserved.","Article","Final","Scopus"
"An Empirical Exploration of Resilience in Human-Autonomy Teams Operating Remotely Piloted Aircraft Systems","2019","Proceedings of the Human Factors and Ergonomics Society","10.1177/1071181319631020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123278284&doi=10.1177%2f1071181319631020&partnerID=40&md5=f91a7a29e6524997a1327665c8eac58b","Project overview. Team resilience is an interactive and dynamic process that develops over time while a team maintains performance. This study aims to empirically investigate systems-level resilience in a Remotely Piloted Aircraft (RPA) System simulated task environment by examining team interaction during novel events. The approach used in the current study to measure systems-level resilience was developed by Hoffman & Hancock (2017). In their conceptual study, resilience was considered a key feature of success in emerging complex sociotechnical systems; in our case, that is applied to Human-Autonomy Teams (HATs). Hoffman and Hancock conceptualized a resilience measure dynamically by means of several components, such as the time it took the system to recognize and characterize anomalies, and the time taken to specify and achieve new goals. In their framework, there were two main sub-events which expressed resilience via time-based measures, and upon which we designed ours in this study: (1) time taken to design a new process and (2) time required to implement it (Hoffman & Hancock, 2017). Design. In this current research, there were three heterogeneous team members who used a text-based system to communicate and successfully photograph target waypoints: (1) navigator – provided information regarding a flight plan with speed and altitude restrictions of each waypoint; (2) pilot – controlled the RPA by adjusting its altitude and airspeed through negotiating with the photographer in order to take a good photo of the target waypoints; and (3) photographer – screened camera settings and sent feedback to the other team members regarding the status of target’s photograph. This study followed the Wizard of Oz paradigm wherein the navigator and photographer were seated together in one room and were told that the pilot was a synthetic agent. In actuality, the pilot was a well-trained experimenter who was working from a separate room. This ‘synthetic’ pilot used restricted vocabulary to simulate that of a computer. The main manipulations in this study consisted of three degraded conditions: (1) automation failure-role-level display failures while processing specific targets, (2) autonomy failure-autonomous agent behaved abnormally while processing specific targets (i.e., it provided misinformation to other team members or demonstrated incorrect actions), and (3) malicious cyber-attacks-the hijacking of the synthetic agent, which led to the synthetic agent providing false, detrimental information to the team about the RPA destination. Because the malicious cyber-attack only occurred once (during the final mission), we will focus on the automation and autonomy failures for this study. Each failure was imposed at a selected target waypoint and the teams had to find a solution in a limited amount of time. The time limit for each failure was related to the difficulty of the failure. Each failure was introduced at a pre-selected target waypoint for each team. Method. In this experiment, there were 22 teams, with only two participants randomly assigned to the navigator and photographer roles for each team, because the pilot was a highly-trained experimenter. The current task was comprised of ten 40-minute missions in which teams needed to take as many “good” photos as possible of ground targets while avoiding alarms and rule violations. For this study, using the RPAS paradigm, we calculated two team resilience scores (1) time taken to design a new process and (2) time required to implement it (Hoffman & Hancock, 2017). For the calculations, we used the message sent time (in seconds) for each role to express resilience in terms of the proportion of total task time (2400 seconds). As an outcome measure, we used target processing efficiency as a coordination and time-based performance score, which was based on how quickly teams were able to take a good photo of each target. Results and discussion. We found that teams were more resilient during automation failures and progressed toward targets more successfully than during autonomy failures. We see three possible explanations for this: (1) automation failures were more explicit than autonomy failures, since at least one team member interacted with other teammates; (2) autonomy failures took more time for human teammates to identify the failure, because the autonomous agent’s abnormal behavior was not as straight forward; and 3) human teammates overtrusted to the autonomous agent and lack confidence in themselves and let the failure go on. © 2019, SAGE Publications Inc. All rights reserved.","Conference paper","Final","Scopus"
"Exploiting the textural information of UAV multispectral imagery to monitor nitrogen status in rice","2019","International Geoscience and Remote Sensing Symposium (IGARSS)","10.1109/IGARSS.2019.8900062","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101947705&doi=10.1109%2fIGARSS.2019.8900062&partnerID=40&md5=6e207165a57954e875ddf8cfb13ab208","This study investigates the potential of texture analysis from the UAV-based multispectral imagery in qualifying N status in rice crops. Texture features and textural indices extracted from the UAV images were correlated with N-related variables. Results indicated that textural indices performed significantly better than individual texture features in N-related variables estimation. Textural indices performed better in plant level N-related variables than that in leaf level. With regards to texture analysis, direction vertical to the row orientation was recommended in row-planted crops. Those findings confirm that texture analysis from UAV imagery is a reliable technique in crop N status monitoring. © 2019 IEEE.","Conference paper","Final","Scopus"
"Audio data augmentation for road objects classification by an Artificial Neural Network","2019","147th Audio Engineering Society International Convention 2019","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084095584&partnerID=40&md5=a73312d435be3a91fd245993e14e2753","Following the resurgence of machine learning within the context of autonomous driving, the need for acquiring and labeling data expanded by folds. Despite the large amount of available visual data (images, point clouds, . . .), researchers apply augmentation techniques to extend the training dataset, which improves the classification accuracy. When trying to exploit audio data for autonomous driving, two challenges immediately surfaced: firstly, the lack of available data and secondly, the absence of augmentation techniques. In this paper, we introduce a series of augmentation techniques suitable for audio data. We apply several procedures, inspired by data augmentation for image classification, that transform and distort the original data to produce similar effects on sound. We show the increase in overall accuracy of our neural network for sound classification by comparing it to the non-augmented version. © 147th Audio Engineering Society International Convention 2019. All rights reserved.","Conference paper","Final","Scopus"
"Role of Cyber Security in Drone Technology","2019","Smart Technologies: Scope and Applications","10.1007/978-981-13-7139-4_13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150565834&doi=10.1007%2f978-981-13-7139-4_13&partnerID=40&md5=2f4b1e83ce8d4fd707893544976c7038","Drones or Unmanned Aerial Vehicles are cyber-physical systems (CPS) meaning an integration of computation, networking, and physical processes. The main technology components of drones are physical structural airframe, propulsion system, embedded computing systems (ECS) such as ground control station (GCS), autopilot system, virtual radio link, multiple payloads, launch and recovery system. Drones systems are reliant on virtual cyber network and embedded computational system for their operation. Cyber security is meant for protecting technologies and processes. An attacker may misuse or manipulate the sensor input or functions, or he may simply disable them to cause denial of service attacks and make unwanted failsafe mechanisms. The drone has been identified as vulnerable to cyber-attacks because of their uniqueness of network and dispersed physical systems located in remote places and because of the cyber-attacks which can result in the defective operation of the control loop, denial of service, destruction and exfiltration, and information corruption. Hence, two important concerns need to be addressed for drones are cyber airworthiness safety and cyber reliability as well as security. In this paper, recent attack and failure of drones, drone network architecture, cyber security is introduced. Role of cyber security, standards, challenges, and requirements are presented. © Springer Nature Singapore Pte Ltd. 2020.","Book chapter","Final","Scopus"
